scientificName,vernacularName,individualCount,stateProvince,locality,decimalLongitude,decimalLatitude,eventDate,eventTime,year,month,collectionCode,locationID,location
Ortalis cinereiceps,,1,San José,Río Chirripó Retreat (restricted access),-83.6025,9.45994,2009/02/27,,"2009","2",eBird,"9", Camino San Gerardo Los Ángeles
Ortalis cinereiceps,,1,San José,Río Chirripó Retreat (restricted access),-83.6025,9.45994,2009/02/27,,"2009","2",eBird,"9", Camino San Gerardo Los Ángeles
Pharomachrus mocinno,,1,San José,"San Gerardo, Costa Rica",-83.6014,9.46439,2009/05/23,,"2009","5",eBird,"9", Camino San Gerardo Los Ángeles
Ortalis cinereiceps,,1,San José,San Gerardo de Rivas,-83.6016,9.46515,2010/01/08,,"2010","1",eBird,"9", Camino San Gerardo Los Ángeles
Myadestes melanops,,1,San José,PN Chirripó -- Entrance to the park trail,-83.5847,9.46933,2010/03/10,,"2010","3",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,noel's secret road between talari and savegre,-83.69,9.50231,2011/01/25,,"2011","1",eBird,"6", Finca Cosme Gamboa
Myadestes melanops,,2,San José,San Gerardo de Rivas,-83.6003,9.46227,2011/02/11,,"2011","2",eBird,"9", Camino San Gerardo Los Ángeles
Chamaepetes unicolor,,1,San José,San Gerardo de Rivas,-83.5998,9.46468,2011/05/08,,"2011","5",eBird,"9", Camino San Gerardo Los Ángeles
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2011/12/30,,"2011","12",eBird,"10", Reserva Cloud Bridge
Penelope purpurascens,,2,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2012/05/16,,"2012","5",eBird,"20", Sendero Huacas
Trogon collaris,,1,Puntarenas,Tres Colinas,-83.0678,9.11999,2012/05/16,,"2012","5",eBird,"20", Sendero Huacas
Myadestes melanops,,1,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2012/05/16,,"2012","5",eBird,"20", Sendero Huacas
Myadestes melanops,,1,Puntarenas,Tres Colinas,-83.0678,9.11999,2012/05/16,,"2012","5",eBird,"20", Sendero Huacas
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/05/21,,"2012","5",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/05/23,,"2012","5",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/05/29,,"2012","5",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/06/01,,"2012","6",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/06/05,,"2012","6",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/06/05,,"2012","6",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/06/09,,"2012","6",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/06/09,,"2012","6",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/06/13,,"2012","6",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/06/19,,"2012","6",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/06/19,,"2012","6",eBird,"10", Reserva Cloud Bridge
Pharomachrus mocinno,,1,,"El Pelicano Lodge, Perez Zeledon",-83.6022,9.4629,2012/07/07,,"2012","7",Bird sounds,"9", Camino San Gerardo Los Ángeles
Myadestes melanops,,4,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2012/08/13,,"2012","8",eBird,"20", Sendero Huacas
Penelope purpurascens,,2,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2012/08/13,,"2012","8",eBird,"20", Sendero Huacas
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/09/10,,"2012","9",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/10/12,,"2012","10",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/10/24,,"2012","10",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/10/24,,"2012","10",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2012/10/24,,"2012","10",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,5,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2012/12/05,,"2012","12",eBird,"20", Sendero Huacas
Penelope purpurascens,,1,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2012/12/05,,"2012","12",eBird,"20", Sendero Huacas
Chamaepetes unicolor,,1,San José,Siberia. AKA Casa Azul,-83.7134,9.55262,2013/01/07,,"2013","1",eBird,"8", Finca Martín Salazar
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/09,,"2013","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/09,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/10,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/11,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/12,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/14,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/16,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/17,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/18,,"2013","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/18,,"2013","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/19,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/25,,"2013","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/25,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/27,,"2013","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/28,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/01/31,,"2013","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/04,,"2013","2",eBird,"10", Reserva Cloud Bridge
Trogon rufus,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/05,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/06,,"2013","2",eBird,"10", Reserva Cloud Bridge
Ortalis cinereiceps,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/10,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/13,,"2013","2",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/13,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,3,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/14,,"2013","2",eBird,"10", Reserva Cloud Bridge
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/14,,"2013","2",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/14,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,6,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/15,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,3,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/21,,"2013","2",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/21,,"2013","2",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/21,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/22,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,4,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/22,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/25,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/25,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/26,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/27,,"2013","2",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/28,,"2013","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/02/28,,"2013","2",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/01,,"2013","3",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/01,,"2013","3",eBird,"10", Reserva Cloud Bridge
Pharomachrus mocinno,,3,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/05,,"2013","3",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/05,,"2013","3",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,3,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/05,,"2013","3",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/05,,"2013","3",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/06,,"2013","3",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/06,,"2013","3",eBird,"10", Reserva Cloud Bridge
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/06,,"2013","3",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/07,,"2013","3",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/07,,"2013","3",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/07,,"2013","3",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/07,,"2013","3",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,4,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/03/07,,"2013","3",eBird,"10", Reserva Cloud Bridge
Penelope purpurascens,,2,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2013/03/10,,"2013","3",eBird,"20", Sendero Huacas
Trogon collaris,,1,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2013/03/10,,"2013","3",eBird,"20", Sendero Huacas
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/04/24,,"2013","4",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/05/02,,"2013","5",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/05/02,,"2013","5",eBird,"10", Reserva Cloud Bridge
Penelope purpurascens,,1,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2013/05/08,,"2013","5",eBird,"20", Sendero Huacas
Myadestes melanops,,2,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2013/05/08,,"2013","5",eBird,"20", Sendero Huacas
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/05/13,,"2013","5",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/05/13,,"2013","5",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/05/14,,"2013","5",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/07/25,,"2013","7",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/07/29,,"2013","7",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/07/30,,"2013","7",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/06,,"2013","8",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,3,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2013/08/07,,"2013","8",eBird,"20", Sendero Huacas
Penelope purpurascens,,3,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2013/08/07,,"2013","8",eBird,"20", Sendero Huacas
Trogon collaris,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/08,,"2013","8",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,3,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/09,,"2013","8",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/16,,"2013","8",eBird,"10", Reserva Cloud Bridge
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/19,,"2013","8",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/20,,"2013","8",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,3,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/20,,"2013","8",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/23,,"2013","8",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/27,,"2013","8",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/08/29,,"2013","8",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/09/02,,"2013","9",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/10/21,,"2013","10",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/10/30,,"2013","10",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/05,,"2013","11",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/07,,"2013","11",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/12,,"2013","11",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/12,,"2013","11",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/12,,"2013","11",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/13,,"2013","11",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/15,,"2013","11",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/16,,"2013","11",eBird,"10", Reserva Cloud Bridge
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/18,,"2013","11",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/19,,"2013","11",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2013/11/19,,"2013","11",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,Puntarenas,Sendero Guardianes del Bosque Tres Colinas,-83.0692,9.11575,2013/12/11,,"2013","12",eBird,"20", Sendero Huacas
Procnias tricarunculatus,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/10,,"2014","1",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/14,,"2014","1",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/16,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/20,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/20,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/21,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/21,,"2014","1",eBird,"10", Reserva Cloud Bridge
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/22,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,4,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/24,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/24,,"2014","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/24,,"2014","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/25,,"2014","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/26,,"2014","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/27,,"2014","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/28,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/28,,"2014","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/28,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/29,,"2014","1",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/29,,"2014","1",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/29,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/30,,"2014","1",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/01/31,,"2014","1",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/04,,"2014","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/04,,"2014","2",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,3,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/04,,"2014","2",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/04,,"2014","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,4,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/05,,"2014","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/05,,"2014","2",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/06,,"2014","2",eBird,"10", Reserva Cloud Bridge
Pharomachrus mocinno,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/06,,"2014","2",eBird,"10", Reserva Cloud Bridge
Chamaepetes unicolor,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/06,,"2014","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/06,,"2014","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,2,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/06,,"2014","2",eBird,"10", Reserva Cloud Bridge
Trogon collaris,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/07,,"2014","2",eBird,"10", Reserva Cloud Bridge
Myadestes melanops,,1,San José,Cloudbridge Nature Reserve,-83.5775,9.47211,2014/02/07,,"2014","2",eBird,"10", Reserva Cloud Bridge
